iterations;min;mean;max
1;0.03830242156982422;0.0390932559967041;0.04150128364562988
11;0.39334630966186523;0.4256523847579956;0.4889209270477295
21;0.7647361755371094;0.805402410030365;0.8435282707214355
31;1.1473629474639893;1.2400803446769715;1.324871301651001
41;1.529585599899292;1.6179002046585083;1.759002923965454
51;1.9253523349761963;1.9979212522506713;2.151257038116455
61;2.2700130939483643;2.3885740637779236;2.4746575355529785
71;2.596468210220337;2.643828248977661;2.7166507244110107
81;3.0226845741271973;3.0480912208557127;3.085139513015747
91;3.334703207015991;3.418332314491272;3.7168116569519043
101;3.8840904235839844;3.996458876132965;4.256229639053345
111;4.176709413528442;4.249567687511444;4.4547178745269775
121;4.535354375839233;4.748515152931214;5.210191965103149
131;4.880234003067017;4.988794207572937;5.169271945953369
141;5.196893692016602;5.307048070430755;5.561070203781128
151;5.711238384246826;5.896651971340179;6.148467540740967
161;6.031503200531006;6.136232554912567;6.635818243026733
171;6.383197546005249;6.429229176044464;6.45327353477478
181;6.775311470031738;6.888669943809509;6.991987228393555
191;7.1266093254089355;7.292379426956177;7.61853551864624
201;7.551891088485718;7.758713555335999;8.04477310180664
211;7.972238779067993;8.176467108726502;8.901737213134766
221;8.331239700317383;8.530874526500702;9.003636598587036
231;8.717171907424927;8.939483177661895;9.802699327468872
241;8.211222410202026;8.60058889389038;9.721809387207031
251;8.615768671035767;8.96685448884964;9.843180179595947
261;8.994384050369263;9.214968860149384;9.749095439910889
271;9.313384771347046;9.461759305000305;9.674410820007324
281;9.662941217422485;9.868131244182587;10.077728748321533
291;10.089065551757812;10.188506245613098;10.29139757156372
301;10.302437782287598;10.511511135101319;10.678831577301025
